"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1816.99984109313
"FDW14","OUT017",1587.7273945449
"NCN55","OUT010",1870.82872514642
"FDQ58","OUT017",2596.17813852854
"FDY38","OUT027",5188.17519979483
"FDH56","OUT046",1919.69361512461
"FDL48","OUT018",572.930671916846
"FDC48","OUT027",2798.8038180418
"FDN33","OUT045",1481.08327587575
"FDA36","OUT017",3072.86235368181
"FDT44","OUT017",1981.89093807703
"FDQ56","OUT045",1314.83227835826
"NCC54","OUT019",1841.73037074684
"FDU11","OUT049",2005.03153225731
"DRL59","OUT013",878.77766673951
"FDM24","OUT049",2550.88587227845
"FDI57","OUT045",3090.84346156533
"DRC12","OUT018",2763.03683274152
"NCM42","OUT027",3172.3130289863
"FDA46","OUT010",1130.70767163747
"FDA31","OUT013",2810.69998153108
"NCJ31","OUT035",3856.55853734035
"FDG52","OUT046",802.200854563862
"NCL19","OUT019",396.524079678725
"FDS10","OUT035",3019.72174961265
"FDX22","OUT010",1441.56936611188
"NCF19","OUT035",934.023077165346
"NCE06","OUT046",2530.21509675616
"DRC27","OUT046",3858.31911383366
"FDE21","OUT035",2029.98027018514
"NCR42","OUT019",0
"FDX51","OUT018",2889.65879879245
"NCR06","OUT018",453.503763087036
"FDU31","OUT027",4964.27498324276
"FDU59","OUT017",2712.16714472162
"FDR03","OUT027",4773.91011987226
"FDS49","OUT027",2767.46217530738
"FDD48","OUT010",0
"NCF18","OUT017",3118.10284589149
"NCD43","OUT027",3101.20306332311
"NCD54","OUT018",2007.1266189085
"FDY19","OUT010",0
"NCY54","OUT017",2817.55884366395
"NCL19","OUT018",2051.25227507922
"FDP23","OUT010",1528.52791018272
"FDC26","OUT013",1802.03909899154
"FDR14","OUT010",0
"NCS41","OUT035",3047.01702320635
"FDF41","OUT035",4037.27725322541
"FDU34","OUT046",1962.4436935918
"DRH11","OUT046",894.412254232111
"FDM03","OUT013",1737.60191884304
"FDS31","OUT017",3052.99678936054
"FDJ20","OUT017",2067.81366019205
"FDV44","OUT027",4510.19349182696
"FDG02","OUT049",3109.29374320382
"FDA09","OUT013",2956.66761213606
"FDT04","OUT013",678.667864483426
"FDL58","OUT019",2245.16518936865
"FDE52","OUT045",1465.79915663866
"FDW12","OUT035",2526.70537616613
"FDL51","OUT017",3549.12326550721
"NCY42","OUT027",3709.55468300149
"FDR07","OUT017",1650.81023895006
"FDN40","OUT045",2355.63943354198
"FDB35","OUT027",2959.5748616326
"FDA22","OUT017",2737.15076454129
"NCL06","OUT046",4108.72017468677
"FDI35","OUT013",2925.39039119036
"NCW42","OUT045",3406.98124360133
"NCX06","OUT049",2954.42735735665
"FDC37","OUT027",3188.71792049678
"FDZ14","OUT018",1718.91645001776
"DRG49","OUT049",3934.62658448326
"NCG06","OUT045",3954.11782404553
"DRC36","OUT045",2736.9338840019
"FDV21","OUT019",21.2652602036956
"FDB53","OUT046",2372.71194170725
"DRP47","OUT019",2015.05001686357
"FDA14","OUT013",2384.03938119231
"DRC24","OUT035",2586.98316594912
"FDW21","OUT018",1372.61693684178
"NCH29","OUT046",1531.86022170527
"FDU58","OUT013",3064.12504435047
"FDY27","OUT017",2942.22347976569
"FDV56","OUT035",1955.13042137758
"FDT59","OUT046",3673.61061295558
"FDB23","OUT046",3609.55267993814
"FDR49","OUT045",692.01490082447
"FDB03","OUT010",1904.64340594514
"FDN39","OUT045",2649.10790570689
"FDX02","OUT027",4992.60071140399
"FDQ16","OUT027",3165.1410921908
"FDU35","OUT018",1319.7203957108
"NCT29","OUT013",1948.35216766554
"FDZ27","OUT046",837.162308189587
"FDN57","OUT017",2364.5134894361
"FDA03","OUT018",2124.34357670113
"FDZ36","OUT045",2904.96994756325
"NCU05","OUT013",1346.6907474823
"FDT39","OUT018",2209.89503431715
"FDK60","OUT017",1697.56249041889
"FDZ25","OUT017",2861.10882445109
"FDG12","OUT046",1981.66872877467
"DRB01","OUT019",1101.9411313831
"NCC43","OUT027",5355.14280622363
"FDX13","OUT019",2013.06815359215
"FDM22","OUT049",1018.30261132416
"FDJ03","OUT027",2324.48344853463
"FDU14","OUT018",3690.46037610385
"FDB33","OUT010",664.920749639579
"FDP27","OUT046",3021.78227709268
"FDO38","OUT010",0
"FDE28","OUT027",5132.2286435401
"FDO27","OUT035",1688.19762970506
"DRL23","OUT027",3151.03335034296
"FDS28","OUT046",950.35340820718
"FDX24","OUT013",1543.56680458401
"FDZ02","OUT035",1752.85298497349
"FDL46","OUT045",1773.48485242287
"FDS60","OUT027",4292.24624060249
"NCO06","OUT017",646.383169081886
"FDO16","OUT035",1519.97103296433
"FDC60","OUT049",1519.83105693886
"FDA48","OUT018",3192.97114013539
"FDZ36","OUT027",4456.09858505052
"FDK27","OUT045",1883.10291090354
"FDW23","OUT018",387.293676171858
"FDM14","OUT018",1501.60755212813
"FDM14","OUT013",1779.47154945779
"FDW60","OUT018",2586.87882767261
"FDE21","OUT013",1914.31879239902
"NCM42","OUT035",1862.25735295731
"FDY59","OUT010",0
"DRI49","OUT049",1378.76532568712
"FDT28","OUT019",532.531116509987
"FDQ22","OUT018",413.439455252471
"FDR60","OUT049",1342.78016787372
"FDC50","OUT019",0
"FDV24","OUT013",2432.8601919786
"DRF48","OUT010",1066.74435491769
"FDQ47","OUT046",673.595172899131
"DRN36","OUT049",1652.36699124395
"NCY06","OUT035",2156.11065674875
"FDE52","OUT035",1670.02805942013
"NCB54","OUT045",1920.10051004365
"NCF31","OUT035",2578.03100569306
"FDJ08","OUT027",4470.74410364393
"NCC07","OUT017",1776.79637500135
"NCD19","OUT027",2331.92641762944
"FDL46","OUT049",1986.72070892951
"FDM20","OUT045",3835.79132030788
"NCI06","OUT010",944.508573198462
"DRM11","OUT035",4189.90382944837
"NCH07","OUT018",2237.57602589423
"FDS23","OUT013",2028.38061093434
"FDO49","OUT018",615.794748477721
"FDS35","OUT049",1146.26226436384
"DRK39","OUT045",1276.50702809165
"DRI39","OUT049",1032.74592489583
"FDV04","OUT017",2645.20299194158
"NCN14","OUT035",3007.09108296075
"FDH08","OUT013",3698.40972390738
"FDS20","OUT046",2929.77666576582
"FDV40","OUT049",1354.28311319522
"FDZ48","OUT010",0
"FDS24","OUT027",2895.04176471791
"FDK44","OUT049",2873.32108741904
"FDS48","OUT045",2374.25106376784
"FDK26","OUT010",1082.04919366472
"FDD23","OUT045",2973.79939665428
"NCH54","OUT017",2668.40213112807
"NCP14","OUT010",0
"FDM60","OUT010",0
"FDV24","OUT017",2498.02527840841
"FDH08","OUT018",3357.09053933281
"FDS12","OUT027",3434.8241281917
"FDR39","OUT027",4320.96141758203
"FDP12","OUT027",2153.13852002192
"DRF60","OUT027",5168.8972251548
"FDC09","OUT035",1860.22465677956
"FDF50","OUT018",2821.16562298034
"FDG28","OUT035",4033.92139538032
"NCE19","OUT017",982.93076375082
"NCM53","OUT010",0
"NCN18","OUT049",1865.0750225013
"FDF32","OUT035",3316.34859181028
"FDF11","OUT013",3861.80587803135
"DRI59","OUT049",3643.49171880604
"NCG54","OUT035",2829.70515959002
"FDM44","OUT046",1658.22140644897
"FDT57","OUT018",3464.44274789116
"FDV24","OUT046",2393.19350864051
"FDI50","OUT019",1748.54438435253
"FDS09","OUT035",1029.62619845075
"NCC31","OUT027",3919.39952840725
"FDQ07","OUT019",1603.81913215921
"FDC22","OUT017",3153.68252277382
"FDZ56","OUT046",2731.80193622063
"FDZ40","OUT019",0
"FDS46","OUT027",3367.65004241545
"DRD24","OUT045",2199.48283987042
"FDV45","OUT017",3111.54118334926
"FDL26","OUT045",2422.50736998804
"FDA56","OUT018",1707.59599976727
"FDN27","OUT046",1880.05884440252
"FDM20","OUT049",3982.56280785471
"FDO16","OUT017",1452.68898224537
"FDL03","OUT035",3307.65312312762
"FDE58","OUT046",1850.97445920415
"FDI02","OUT027",3262.96112752911
"NCC55","OUT019",0
"FDR03","OUT018",3058.81196363216
"FDB14","OUT017",1612.32913647593
"FDR45","OUT013",3840.75475944115
"NCN07","OUT017",2132.69699071076
"FDM51","OUT019",0
"FDT52","OUT027",5356.89429669929
"FDL26","OUT046",2468.0326461691
"NCZ42","OUT046",3764.91038866533
"DRI47","OUT019",451.096627268146
"FDW40","OUT013",2341.71105515173
"FDN34","OUT046",2763.66451151394
"FDS01","OUT035",3006.90293932752
"NCG55","OUT045",1762.763268035
"FDC11","OUT035",1520.66793927977
"FDX35","OUT018",3314.8398346169
"NCB06","OUT046",2536.19711022358
"FDR09","OUT019",2170.44321056129
"FDC53","OUT017",1683.75652539684
"FDY45","OUT013",4063.91915392602
"FDA22","OUT010",750.730959950399
"FDE02","OUT035",1664.53750838355
"FDW21","OUT045",1582.7880183712
"FDV34","OUT046",1283.52713752527
"FDS59","OUT049",1903.43241345202
"NCW17","OUT017",2110.05778375301
"NCK54","OUT046",1855.84563156422
"FDG17","OUT019",1987.38841994886
