"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1
"FDW14","OUT017",1
"NCN55","OUT010",1
"FDQ58","OUT017",1
"FDY38","OUT027",1
"FDH56","OUT046",1
"FDL48","OUT018",1
"FDC48","OUT027",1
"FDN33","OUT045",1
"FDA36","OUT017",1
"FDT44","OUT017",1
"FDQ56","OUT045",1
"NCC54","OUT019",1
"FDU11","OUT049",1
"DRL59","OUT013",1
"FDM24","OUT049",1
"FDI57","OUT045",1
"DRC12","OUT018",1
"NCM42","OUT027",1
"FDA46","OUT010",1
"FDA31","OUT013",1
"NCJ31","OUT035",1
"FDG52","OUT046",1
"NCL19","OUT019",1
"FDS10","OUT035",1
"FDX22","OUT010",1
"NCF19","OUT035",1
"NCE06","OUT046",1
"DRC27","OUT046",1
"FDE21","OUT035",1
"NCR42","OUT019",1
"FDX51","OUT018",1
"NCR06","OUT018",1
"FDU31","OUT027",1
"FDU59","OUT017",1
"FDR03","OUT027",1
"FDS49","OUT027",1
"FDD48","OUT010",1
"NCF18","OUT017",1
"NCD43","OUT027",1
"NCD54","OUT018",1
"FDY19","OUT010",1
"NCY54","OUT017",1
"NCL19","OUT018",1
"FDP23","OUT010",1
"FDC26","OUT013",1
"FDR14","OUT010",1
"NCS41","OUT035",1
"FDF41","OUT035",1
"FDU34","OUT046",1
"DRH11","OUT046",1
"FDM03","OUT013",1
"FDS31","OUT017",1
"FDJ20","OUT017",1
"FDV44","OUT027",1
"FDG02","OUT049",1
"FDA09","OUT013",1
"FDT04","OUT013",1
"FDL58","OUT019",1
"FDE52","OUT045",1
"FDW12","OUT035",1
"FDL51","OUT017",1
"NCY42","OUT027",1
"FDR07","OUT017",1
"FDN40","OUT045",1
"FDB35","OUT027",1
"FDA22","OUT017",1
"NCL06","OUT046",1
"FDI35","OUT013",1
"NCW42","OUT045",1
"NCX06","OUT049",1
"FDC37","OUT027",1
"FDZ14","OUT018",1
"DRG49","OUT049",1
"NCG06","OUT045",1
"DRC36","OUT045",1
"FDV21","OUT019",1
"FDB53","OUT046",1
"DRP47","OUT019",1
"FDA14","OUT013",1
"DRC24","OUT035",1
"FDW21","OUT018",1
"NCH29","OUT046",1
"FDU58","OUT013",1
"FDY27","OUT017",1
"FDV56","OUT035",1
"FDT59","OUT046",1
"FDB23","OUT046",1
"FDR49","OUT045",1
"FDB03","OUT010",1
"FDN39","OUT045",1
"FDX02","OUT027",1
"FDQ16","OUT027",1
"FDU35","OUT018",1
"NCT29","OUT013",1
"FDZ27","OUT046",1
"FDN57","OUT017",1
"FDA03","OUT018",1
"FDZ36","OUT045",1
"NCU05","OUT013",1
"FDT39","OUT018",1
"FDK60","OUT017",1
"FDZ25","OUT017",1
"FDG12","OUT046",1
"DRB01","OUT019",1
"NCC43","OUT027",1
"FDX13","OUT019",1
"FDM22","OUT049",1
"FDJ03","OUT027",1
"FDU14","OUT018",1
"FDB33","OUT010",1
"FDP27","OUT046",1
"FDO38","OUT010",1
"FDE28","OUT027",1
"FDO27","OUT035",1
"DRL23","OUT027",1
"FDS28","OUT046",1
"FDX24","OUT013",1
"FDZ02","OUT035",1
"FDL46","OUT045",1
"FDS60","OUT027",1
"NCO06","OUT017",1
"FDO16","OUT035",1
"FDC60","OUT049",1
"FDA48","OUT018",1
"FDZ36","OUT027",1
"FDK27","OUT045",1
"FDW23","OUT018",1
"FDM14","OUT018",1
"FDM14","OUT013",1
"FDW60","OUT018",1
"FDE21","OUT013",1
"NCM42","OUT035",1
"FDY59","OUT010",1
"DRI49","OUT049",1
"FDT28","OUT019",1
"FDQ22","OUT018",1
"FDR60","OUT049",1
"FDC50","OUT019",1
"FDV24","OUT013",1
"DRF48","OUT010",1
"FDQ47","OUT046",1
"DRN36","OUT049",1
"NCY06","OUT035",1
"FDE52","OUT035",1
"NCB54","OUT045",1
"NCF31","OUT035",1
"FDJ08","OUT027",1
"NCC07","OUT017",1
"NCD19","OUT027",1
"FDL46","OUT049",1
"FDM20","OUT045",1
"NCI06","OUT010",1
"DRM11","OUT035",1
"NCH07","OUT018",1
"FDS23","OUT013",1
"FDO49","OUT018",1
"FDS35","OUT049",1
"DRK39","OUT045",1
"DRI39","OUT049",1
"FDV04","OUT017",1
"NCN14","OUT035",1
"FDH08","OUT013",1
"FDS20","OUT046",1
"FDV40","OUT049",1
"FDZ48","OUT010",1
"FDS24","OUT027",1
"FDK44","OUT049",1
"FDS48","OUT045",1
"FDK26","OUT010",1
"FDD23","OUT045",1
"NCH54","OUT017",1
"NCP14","OUT010",1
"FDM60","OUT010",1
"FDV24","OUT017",1
"FDH08","OUT018",1
"FDS12","OUT027",1
"FDR39","OUT027",1
"FDP12","OUT027",1
"DRF60","OUT027",1
"FDC09","OUT035",1
"FDF50","OUT018",1
"FDG28","OUT035",1
"NCE19","OUT017",1
"NCM53","OUT010",1
"NCN18","OUT049",1
"FDF32","OUT035",1
"FDF11","OUT013",1
"DRI59","OUT049",1
"NCG54","OUT035",1
"FDM44","OUT046",1
"FDT57","OUT018",1
"FDV24","OUT046",1
"FDI50","OUT019",1
"FDS09","OUT035",1
"NCC31","OUT027",1
"FDQ07","OUT019",1
"FDC22","OUT017",1
"FDZ56","OUT046",1
"FDZ40","OUT019",1
"FDS46","OUT027",1
"DRD24","OUT045",1
"FDV45","OUT017",1
"FDL26","OUT045",1
"FDA56","OUT018",1
"FDN27","OUT046",1
"FDM20","OUT049",1
"FDO16","OUT017",1
"FDL03","OUT035",1
"FDE58","OUT046",1
"FDI02","OUT027",1
"NCC55","OUT019",1
"FDR03","OUT018",1
"FDB14","OUT017",1
"FDR45","OUT013",1
"NCN07","OUT017",1
"FDM51","OUT019",1
"FDT52","OUT027",1
"FDL26","OUT046",1
"NCZ42","OUT046",1
"DRI47","OUT019",1
"FDW40","OUT013",1
"FDN34","OUT046",1
"FDS01","OUT035",1
"NCG55","OUT045",1
"FDC11","OUT035",1
"FDX35","OUT018",1
"NCB06","OUT046",1
"FDR09","OUT019",1
"FDC53","OUT017",1
"FDY45","OUT013",1
"FDA22","OUT010",1
"FDE02","OUT035",1
"FDW21","OUT045",1
"FDV34","OUT046",1
"FDS59","OUT049",1
"NCW17","OUT017",1
"NCK54","OUT046",1
"FDG17","OUT019",1
"FDG35","OUT017",1
"FDD08","OUT010",1
"NCO07","OUT017",1
"FDJ10","OUT010",1
"FDW36","OUT017",1
"FDW21","OUT010",1
"FDY19","OUT017",1
"DRE03","OUT013",1
"NCC55","OUT049",1
"FDH52","OUT010",1
"FDO09","OUT017",1
"FDU43","OUT045",1
"FDX09","OUT010",1
"FDH40","OUT019",1
"FDW58","OUT017",1
"FDC47","OUT017",1
"NCR41","OUT035",1
