"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1448.66654740129
"FDW14","OUT017",1247.12747234143
"NCN55","OUT010",556.451240780447
"FDQ58","OUT017",2162.85944098291
"FDY38","OUT027",5089.79109204541
"FDH56","OUT046",1650.26769076759
"FDL48","OUT018",563.164853429412
"FDC48","OUT027",2166.9525998054
"FDN33","OUT045",1285.49850678888
"FDA36","OUT017",2690.27628030122
"FDT44","OUT017",1664.64079927707
"FDQ56","OUT045",1235.00129718631
"NCC54","OUT019",520.084681688066
"FDU11","OUT049",1824.01305935081
"DRL59","OUT013",641.489205100067
"FDM24","OUT049",2221.4791149112
"FDI57","OUT045",2596.63062367731
"DRC12","OUT018",2432.31544623419
"NCM42","OUT027",2599.66345584762
"FDA46","OUT010",384.933999223325
"FDA31","OUT013",2516.39440556643
"NCJ31","OUT035",3482.37361901953
"FDG52","OUT046",690.934043620752
"NCL19","OUT019",301.908135680869
"FDS10","OUT035",2852.31763122672
"FDX22","OUT010",510.27182512668
"NCF19","OUT035",699.528477547203
"NCE06","OUT046",2215.8292990671
"DRC27","OUT046",3357.93368400798
"FDE21","OUT035",1817.4722172306
"NCR42","OUT019",65.8682770371053
"FDX51","OUT018",2414.09444901894
"NCR06","OUT018",445.93378068301
"FDU31","OUT027",5083.82348589463
"FDU59","OUT017",2216.45302856756
"FDR03","OUT027",5026.76510080959
"FDS49","OUT027",2080.21333719746
"FDD48","OUT010",226.581885409862
"NCF18","OUT017",2780.51825139851
"NCD43","OUT027",2537.34197821349
"NCD54","OUT018",1539.19079852346
"FDY19","OUT010",221.715072227967
"NCY54","OUT017",2454.0228960088
"NCL19","OUT018",1879.99997673575
"FDP23","OUT010",507.717884689779
"FDC26","OUT013",1549.2591945152
"FDR14","OUT010",119.112254451522
"NCS41","OUT035",2898.09344125054
"FDF41","OUT035",3519.1620912973
"FDU34","OUT046",1766.02041895769
"DRH11","OUT046",863.920788705777
"FDM03","OUT013",1515.71839364414
"FDS31","OUT017",2802.69240367472
"FDJ20","OUT017",1688.77414843324
"FDV44","OUT027",4629.42696403939
"FDG02","OUT049",2724.43001540896
"FDA09","OUT013",2757.19458305329
"FDT04","OUT013",548.289437909771
"FDL58","OUT019",487.700951448562
"FDE52","OUT045",1239.20638033505
"FDW12","OUT035",2345.54182296265
"FDL51","OUT017",3157.68412002899
"NCY42","OUT027",3271.36331289059
"FDR07","OUT017",1251.94796450846
"FDN40","OUT045",2048.50836843167
"FDB35","OUT027",2258.14349898897
"FDA22","OUT017",2357.75143813869
"NCL06","OUT046",3431.04812300442
"FDI35","OUT013",2758.36922009625
"NCW42","OUT045",3064.79719502969
"NCX06","OUT049",2854.46956476114
"FDC37","OUT027",2556.39826587506
"FDZ14","OUT018",1523.6985252748
"DRG49","OUT049",3738.75029258656
"NCG06","OUT045",3291.29077311983
"DRC36","OUT045",2541.64249877369
"FDV21","OUT019",295.166437793339
"FDB53","OUT046",2257.68022655463
"DRP47","OUT019",464.823351013373
"FDA14","OUT013",2158.27578883938
"DRC24","OUT035",2371.56833147209
"FDW21","OUT018",1298.29910186893
"NCH29","OUT046",1502.48938591675
"FDU58","OUT013",2672.4604373798
"FDY27","OUT017",2472.67382476286
"FDV56","OUT035",1595.16966984945
"FDT59","OUT046",3324.5935583403
"FDB23","OUT046",3184.31200704072
"FDR49","OUT045",649.04913856713
"FDB03","OUT010",477.04045749265
"FDN39","OUT045",2403.35722309049
"FDX02","OUT027",5017.03128470536
"FDQ16","OUT027",2490.14308098388
"FDU35","OUT018",1258.86764903039
"NCT29","OUT013",1632.39634860659
"FDZ27","OUT046",718.386843262005
"FDN57","OUT017",1910.47683283931
"FDA03","OUT018",1884.8551096677
"FDZ36","OUT045",2688.91456471732
"NCU05","OUT013",1047.37198819775
